A 1 MEX RSA 1 2 0 MXC 
A 1 ROK CZE 1 2 1 ZAP
A 2 CZE RSA 1 1 1 ATL
A 2 MEX ROK 1 1 0 ZAP
A 3 CZE MEX 1 0 3 MXC
A 3 RSA ROK 1 1 0 GUA

B 1 CAN BH  1 1 1 TOR
B 1 QAT SUI 1 1 1 SC
B 2 SUI BH  1 4 1 ING
B 2 CAN QAT 1 6 0 ING
B 3 SUI CAN 1 2 1 VAN
B 3 BH  QAT 1 3 1 SEA

C 1 BRA MOR 1 1 1 RUT
C 1 HAI SCO 1 0 1 FOX
C 2 SCO MOR 1 0 1 FOX
C 2 BRA HAI 1 3 0 PHI
C 3 SCO BRA 1 0 3 MIA
C 3 MOR HAI 1 4 2 ATL

D 1 USA PAR 1 4 1 ING
D 1 AUS TUR 1 2 0 VAN
D 2 USA AUS 1 2 0 SEA
D 2 TUR PAR 1 0 1 SC
D 3 TUR USA 0 NA NA ING
D 3 PAR AUS 0 NA NA SC

E 1 GER CUR 1 7 1 HOU
E 1 CIV ECU 1 1 0 PH
E 2 GER CIV 1 2 1 TOR
E 2 ECU CUR 1 0 0 KAN
E 3 CUR CIV 0 NA NA PHI
E 3 ECU GER 0 NA NA RUT

F 1 NED JAP 1 2 2 ARL
F 1 SWE TUN 1 5 1 GUA
F 2 NED SWE 1 5 1 HOU
F 2 TUN JAP 1 0 4 GUA
F 3 JAP SWE 0 NA NA ARL
F 3 TUN NED 0 NA NA KAN

G 1 BEL EGY 1 1 1 SEA
G 1 IRA NZ  1 2 2 ING
G 2 BEL IRA 1 0 0 ING
G 2 NZ  EGY 1 1 3 VAN
G 3 EGY IRA 0 NA NA SEA
G 3 NZ  BEL 0 NA NA VAN

H 1 ESP CV  1 0 0 ATL
H 1 SAU URU 1 1 1 MIA
H 2 ESP SAU 1 4 0 ATL
H 2 URU CV  1 2 2 MIA
H 3 CV  SAU 0 NA NA HOU
H 3 URU ESP 0 NA NA ZAP

I 1 FRA SEN 1 3 1 RUTH
I 1 IRQ NOR 1 1 4 FOX
I 2 FRA IRQ 1 3 0 PHI
I 2 NOR SEN 1 3 2 RUTH
I 3 NOR FRA 0 NA NA FOX
I 3 SEN IRQ 0 NA NA TOR

J 1 ARG ALG 1 3 0 KAN
J 1 AST JOR 1 3 1 SC
J 2 ARG AST 1 2 0 ARL
J 2 JOR ALG 1 1 2 SC
J 3 ALG AST 0 NA NA KAN
J 3 JOR ALG 0 NA NA ARL

K 1 POR DRC 1 1 1 HOU
K 1 UZB COL 1 1 3 MXC
K 2 POR UZB 1 5 0 HOU
K 2 COL DRC 1 1 0 ZAP
K 3 COL POR 0 NA NA MIA
K 3 DRC UZB 0 NA NA ATL

L 1 ENG CRO 1 4 2 ARL
L 1 GHA PAN 1 1 0 TOR
L 2 ENG GHA 1 0 0 FOX
L 2 PAN CRO 1 0 1 TOR
L 3 PAN ENG 0 NA NA RUTH
L 3 CRO GHA 0 NA NA PHI
